date;country;visa_title;baden_man;baden_woman;bayern_man;bayern_woman;berlin_man;berlin_woman;brandenburg_man;brandenburg_woman;bremen_man;bremen_woman;hamburg_man;hamburg_woman;hessen_man;hessen_woman;mecklen_man;mecklen_woman;niedersachsen_man;niedersachsen_woman;nordrhein_man;nordrhein_woman;rheinland_man;rheinland_woman;saarland_man;saarland_woman;sachsen_man;sachsen_woman;sachsen_anhalt_man;sachsen_anhalt_woman;schleswig_man;schleswig_woman;thueringen_man;thueringen_woman
31.12.1998;China;Freiz�gigkeit nach EU-Recht;17;33;11;26;9;13;-;2;-;1;4;3;6;8;1;-;-;8;15;35;7;9;-;-;1;1;1;2;1;5;-;1
31.12.1998;China;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;3;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4;4;-;1;-;-;-;-;-;-;1;1;-;-
31.12.1998;China;Unbefristeter Aufenthaltstitel;263;273;384;375;413;358;24;21;53;55;150;119;200;195;15;6;128;106;491;451;130;138;26;27;31;21;24;20;58;68;11;11
31.12.1998;China;Befristeter Aufenthaltstitel;2016;1578;1762;1452;1644;1195;108;94;253;139;1756;897;1198;978;99;45;858;643;3107;2251;546;505;250;127;291;177;155;109;427;199;81;60
31.12.1998;China;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.1998;China;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.1998;China;Befr. AE.aus v�lkerr.,human.,pol.Gr�nden,AufenthG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.1998;China;Befr.Aufenthaltserlaubn. a.fam. Gr�nden, AufenthG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.1998;China;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;2016;1578;1762;1452;1644;1195;108;94;253;139;1756;897;1198;978;99;45;858;643;3107;2251;546;505;250;127;291;177;155;109;427;199;81;60
31.12.1998;China;Antrag auf einen Aufenthaltstitel gestellt;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;4;1;-;-
