date;country;visa_title;number
31.12.1998;China;Freizügigkeit nach EU-Recht;17
31.12.1998;China;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;3
31.12.1998;China;Unbefristeter Aufenthaltstitel;263
31.12.1998;China;Befristeter Aufenthaltstitel;2016
31.12.1998;China;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;-
31.12.1998;China;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;-
31.12.1998;China;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;-
31.12.1998;China;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;-
31.12.1998;China;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;2016
31.12.1998;China;Antrag auf einen Aufenthaltstitel gestellt;-
31.12.1998;China;Duldung;378
31.12.1998;China;Aufenthaltsgestattung;80
31.12.1998;China;Ohne Aufenthaltstitel, Duldung oder Gestattung;356
31.12.1999;China;Freizügigkeit nach EU-Recht;17
31.12.1999;China;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;3
31.12.1999;China;Unbefristeter Aufenthaltstitel;314
31.12.1999;China;Befristeter Aufenthaltstitel;2321
31.12.1999;China;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;-
31.12.1999;China;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;-
31.12.1999;China;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;-
31.12.1999;China;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;-
31.12.1999;China;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;2321
31.12.1999;China;Antrag auf einen Aufenthaltstitel gestellt;1
31.12.1999;China;Duldung;416
31.12.1999;China;Aufenthaltsgestattung;137
31.12.1999;China;Ohne Aufenthaltstitel, Duldung oder Gestattung;375
31.12.2000;China;Freizügigkeit nach EU-Recht;16
31.12.2000;China;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;3
31.12.2000;China;Unbefristeter Aufenthaltstitel;345
31.12.2000;China;Befristeter Aufenthaltstitel;2669
31.12.2000;China;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;-
31.12.2000;China;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;-
31.12.2000;China;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;-
31.12.2000;China;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;-
31.12.2000;China;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;2669
31.12.2000;China;Antrag auf einen Aufenthaltstitel gestellt;2
31.12.2000;China;Duldung;443
31.12.2000;China;Aufenthaltsgestattung;296
31.12.2000;China;Ohne Aufenthaltstitel, Duldung oder Gestattung;386
31.12.2001;China;Freizügigkeit nach EU-Recht;17
31.12.2001;China;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;3
31.12.2001;China;Unbefristeter Aufenthaltstitel;373
31.12.2001;China;Befristeter Aufenthaltstitel;3388
31.12.2001;China;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;-
31.12.2001;China;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;-
31.12.2001;China;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;-
31.12.2001;China;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;-
31.12.2001;China;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;3388
31.12.2001;China;Antrag auf einen Aufenthaltstitel gestellt;3
